YEAR,MONTH,METFIPS,wfh_pct
2022,10,12420,0.36379076093077367
2022,10,16980,0.24306788400276402
2022,10,19100,0.21081761447880673
2022,10,26420,0.14463273793715214
2022,10,31080,0.19935222668655528
2022,10,35620,0.19356433471326429
2022,10,37980,0.27363909200324904
2022,10,41860,0.41063132570435085
2022,10,41940,0.46983935682477945
2022,10,47900,0.3165741110303151
2022,11,12420,0.3509118141430697
2022,11,16980,0.2521954471997395
2022,11,19100,0.18466465071490587
2022,11,26420,0.1603999355915976
2022,11,31080,0.20767909350310115
2022,11,35620,0.20712364666181196
2022,11,37980,0.26338963147604716
2022,11,41860,0.3790548778764498
2022,11,41940,0.4121069344428759
2022,11,47900,0.34384377990155174
2022,12,12420,0.47089829166472147
2022,12,16980,0.2368788016783054
2022,12,19100,0.18194476350466895
2022,12,26420,0.17954709249306325
2022,12,31080,0.1985067532078253
2022,12,35620,0.2239905772014323
2022,12,37980,0.22965670402264002
2022,12,41860,0.36413840277569165
2022,12,41940,0.35404539915019834
2022,12,47900,0.36250635880791915
2023,1,12420,0.455884847886703
2023,1,16980,0.25909081221099234
2023,1,19100,0.16753649230411968
2023,1,26420,0.16948079518872758
2023,1,31080,0.19840226036887704
2023,1,35620,0.23859746891094988
2023,1,37980,0.23332654892307458
2023,1,41860,0.37800501916996343
2023,1,41940,0.3933702280509433
2023,1,47900,0.4144417207714733
2023,2,12420,0.4356650639750325
2023,2,16980,0.2613633979949434
2023,2,19100,0.2173072098550168
2023,2,26420,0.20252988775105304
2023,2,31080,0.21538350093318095
2023,2,35620,0.238005018638474
2023,2,37980,0.29977090392313316
2023,2,41860,0.38588436030506684
2023,2,41940,0.3952793913832839
2023,2,47900,0.38437840417560704
2023,3,12420,0.37442984964092957
2023,3,16980,0.2153936738344184
2023,3,19100,0.18800646161630252
2023,3,26420,0.1816202425243131
2023,3,31080,0.2293123762041589
2023,3,35620,0.22561314229125326
2023,3,37980,0.26351594848303467
2023,3,41860,0.3951690380570026
2023,3,41940,0.3861447212120281
2023,3,47900,0.370920948986827
2023,4,12420,0.35235923367437577
2023,4,16980,0.21109031578553292
2023,4,19100,0.17599253715036303
2023,4,26420,0.16715487280550653
2023,4,31080,0.20904324037911606
2023,4,35620,0.20822341089272903
2023,4,37980,0.25846315315381113
2023,4,41860,0.35262300521092527
2023,4,41940,0.34206768910973984
2023,4,47900,0.36992453646155427
2023,5,12420,0.34286224611934446
2023,5,16980,0.2213899263189574
2023,5,19100,0.22162640249666316
2023,5,26420,0.15646448230596133
2023,5,31080,0.2147409271869631
2023,5,35620,0.21193202060571473
2023,5,37980,0.27886283835904085
2023,5,41860,0.37955396019611953
2023,5,41940,0.29967767019524055
2023,5,47900,0.3670876193071393
2023,6,12420,0.33726790186680716
2023,6,16980,0.2337683398311445
2023,6,19100,0.2329952562358937
2023,6,26420,0.1357825637759564
2023,6,31080,0.2228080856744007
2023,6,35620,0.2001539326136811
2023,6,37980,0.2719240333394516
2023,6,41860,0.3773805689633917
2023,6,41940,0.3143660550666277
2023,6,47900,0.3807552694391723
2023,7,12420,0.31621234151254585
2023,7,16980,0.23186394410093983
2023,7,19100,0.26926053231976577
2023,7,26420,0.12596337111227535
2023,7,31080,0.21513147984833697
2023,7,35620,0.21980568707060444
2023,7,37980,0.29788883555924106
2023,7,41860,0.4018459661877435
2023,7,41940,0.32284069162967155
2023,7,47900,0.36902001974335913
2023,8,12420,0.2725019506601602
2023,8,16980,0.22879559875227493
2023,8,19100,0.2445900017382529
2023,8,26420,0.12687024716833642
2023,8,31080,0.22795542644067085
2023,8,35620,0.24794498559584052
2023,8,37980,0.28916946387139547
2023,8,41860,0.38971323969661853
2023,8,41940,0.39312650249605197
2023,8,47900,0.3716461990410798
2023,9,12420,0.30872658069251363
2023,9,16980,0.21994427400652436
2023,9,19100,0.2697469593866076
2023,9,26420,0.16205911993908376
2023,9,31080,0.23516698120661128
2023,9,35620,0.21675521871789535
2023,9,37980,0.2772820468810487
2023,9,41860,0.36764643832086297
2023,9,41940,0.380025760588078
2023,9,47900,0.38097764977799004
2023,10,12420,0.292584769467174
2023,10,16980,0.21092041672053363
2023,10,19100,0.2321396873548218
2023,10,26420,0.20176308552557726
2023,10,31080,0.24046466149896784
2023,10,35620,0.2434558116791217
2023,10,37980,0.27216826537363364
2023,10,41860,0.35003643568135273
2023,10,41940,0.4020258358651022
2023,10,47900,0.3709013859128823
2023,11,12420,0.2838620278906472
2023,11,16980,0.2453728157699603
2023,11,19100,0.2378261985847831
2023,11,26420,0.21484290254597024
2023,11,31080,0.25274887300593796
2023,11,35620,0.2434795123247156
2023,11,37980,0.25481527288356265
2023,11,41860,0.40156627171992665
2023,11,41940,0.36486378929290403
2023,11,47900,0.39120024709611545
2023,12,12420,0.360997484735061
2023,12,16980,0.2469030357973122
2023,12,19100,0.24671237035525043
2023,12,26420,0.24522292028124923
2023,12,31080,0.23683880994011158
2023,12,35620,0.238636069630468
2023,12,37980,0.2594360347011365
2023,12,41860,0.3429787516651704
2023,12,41940,0.3834144356609295
2023,12,47900,0.37765117099774004
2024,1,12420,0.33335821174576075
2024,1,16980,0.29773276926984565
2024,1,19100,0.24287981401511782
2024,1,26420,0.2480909243090768
2024,1,31080,0.25407694541932163
2024,1,35620,0.2367941551671798
2024,1,37980,0.28883334907602826
2024,1,41860,0.3437626044347951
2024,1,41940,0.41585773813005006
2024,1,47900,0.37524157554797843
2024,2,12420,0.323997597911203
2024,2,16980,0.2848875941152198
2024,2,19100,0.23345322237442961
2024,2,26420,0.22992780564840937
2024,2,31080,0.24166927310166358
2024,2,35620,0.25189897293989616
2024,2,37980,0.3106961838730392
2024,2,41860,0.362998270755908
2024,2,41940,0.3591198516141504
2024,2,47900,0.3729607782754644
2024,3,12420,0.3053166474268094
2024,3,16980,0.29071184758962026
2024,3,19100,0.2579436996914269
2024,3,26420,0.2071516193725056
2024,3,31080,0.2706741693191722
2024,3,35620,0.23806932240726264
2024,3,37980,0.30389177365461895
2024,3,41860,0.35429789685402646
2024,3,41940,0.43612983218342155
2024,3,47900,0.37303171653850625
2024,4,12420,0.30924379632459514
2024,4,16980,0.2862631292231922
2024,4,19100,0.2626425035526685
2024,4,26420,0.18487642373544777
2024,4,31080,0.24478893991042452
2024,4,35620,0.22363545228465537
2024,4,37980,0.29255414062773705
2024,4,41860,0.32204801787425547
2024,4,41940,0.3435045348381061
2024,4,47900,0.35401033354336037
2024,5,12420,0.3220032435348828
2024,5,16980,0.29711827647551364
2024,5,19100,0.2784763361402126
2024,5,26420,0.16575492140112214
2024,5,31080,0.24760423274925752
2024,5,35620,0.24749404157907504
2024,5,37980,0.25851289224201784
2024,5,41860,0.3302093600410827
2024,5,41940,0.3094731970223104
2024,5,47900,0.3808988032718335
2022,10,1,0.17841667178547754
2022,11,1,0.18513647775668932
2022,12,1,0.189579353985053
2023,1,1,0.19358846990550796
2023,2,1,0.19933244909309217
2023,3,1,0.19513994184858557
2023,4,1,0.18482774059478865
2023,5,1,0.1890477964657774
2023,6,1,0.1892729670138483
2023,7,1,0.1987241120471451
2023,8,1,0.194676850158722
2023,9,1,0.1973373633622501
2023,10,1,0.19744081873968383
2023,11,1,0.20478353916070016
2023,12,1,0.21887237530728518
2024,1,1,0.22911042329211603
2024,2,1,0.22658498669406907
2024,3,1,0.22912007121789765
2024,4,1,0.21495821568251242
2024,5,1,0.21726561269644223
